State,District,Subdivision,Block,Panchayat,Village,Pincode
Odisha,Angul,Angul,Anugul,Amantapur,Chhelipada,759129
Odisha,Angul,Angul,Anugul,Angarbandha,Angarbandha,759129
Odisha,Angul,Angul,,Angul Town,,759122
Odisha,Angul,Angul,Anugul,Ankula(Part),Susuda,759132
Odisha,Angul,Angul,Anugul,Antulia,Antula,759129
Odisha,Angul,Angul,Anugul,Aradiha,Gadatarasha,759129
Odisha,Angul,Angul,Anugul,Badabahala,Kunursingha,759129
Odisha,Angul,Angul,Anugul,Badadandasahi,Matiasahi,759129
Odisha,Angul,Angul,Anugul,Badahinso,Baragaunia,759129
Odisha,Angul,Angul,Anugul,Badakanjeni,Inkarbandha,759129
Odisha,Angul,Angul,Anugul,Badakantakul,Badakantakul,759129
Odisha,Angul,Angul,Anugul,Badakera,Badakera,759132
Odisha,Angul,Angul,Anugul,Badakheta,Purunakot,759132
Odisha,Angul,Angul,Anugul,Badataila,Tainsi,759127
Odisha,Angul,Angul,Anugul,Badibahal,Kangula Bentapur,759122
Odisha,Angul,Angul,Anugul,Baghamunda,Kothabhuin,759127
Odisha,Angul,Angul,Anugul,Baghuapat,Nandapur,759132
Odisha,Angul,Angul,Anugul,Balanga,Balanga,759132
Odisha,Angul,Angul,Anugul,Balarampur,Baluakata,759129
Odisha,Angul,Angul,Anugul,Balasinga,Balasingha,759129
Odisha,Angul,Angul,Anugul,Baliani,Balasingha,759129
Odisha,Angul,Angul,Anugul,Balijerenga,Saradhapur,759132
Odisha,Angul,Angul,Anugul,Ballavpur,Kunursingha,759129
Odisha,Angul,Angul,Anugul,Baluakata,Baluakata,759129
Odisha,Angul,Angul,Anugul,Banamira,Khinda,759129
Odisha,Angul,Angul,Anugul,Bandanpasi,Baragaunia,759129
Odisha,Angul,Angul,,Baniabahal,,
Odisha,Angul,Angul,Anugul,Baniasahi,Matiasahi,759129
Odisha,Angul,Angul,Anugul,Bantala,Bantala,759129
Odisha,Angul,Angul,Anugul,Barabandha,Gadatarasha,759129
Odisha,Angul,Angul,Anugul,Baradasahi,Matiasahi,759129
Odisha,Angul,Angul,Anugul,Baragotha,Tainsi,759127
